level_strict3,locale_simple,academic_year,year_fct,n_races,max_rate,min_rate,spread_abs,spread_ratio,p90_rate,p10_rate,spread_9010,cv
Alternative,City,2017-18,2017-18,8,0.1001926782273603,0.0030864197530864196,0.09710625847427388,32.46242774566474,0.07287564210151797,0.012972795204578436,0.05990284689693953,0.6753312003477473
Alternative,City,2018-19,2018-19,8,0.10789506096809952,0.00315955766192733,0.10473550330617219,34.1487867964035,0.07557839483363973,0.008917018969529357,0.06666137586411038,0.6433054287660114
Alternative,City,2019-20,2019-20,8,0.09389734608648795,0,0.09389734608648795,NA,0.062421914288665045,0,0.062421914288665045,1.2292769630844786
Alternative,City,2021-22,2021-22,8,0.05870075658752935,0.002973240832507433,0.05572751575502192,19.74302113227237,0.04134086050900923,0.0036135896681037077,0.037727270840905526,0.9583975845958127
Alternative,City,2022-23,2022-23,8,0.08231076795808631,0,0.08231076795808631,NA,0.07654508223927775,0,0.07654508223927775,0.8663531512924508
Alternative,City,2023-24,2023-24,8,0.14285714285714285,0.0017730496453900709,0.14108409321175278,80.57142857142857,0.09955884051276127,0.004378068739770868,0.0951807717729904,0.9528948672148546
Alternative,Rural,2017-18,2017-18,7,0.3798449612403101,0,0.3798449612403101,NA,0.30409936778142665,0.03529411764705883,0.26880525013436785,1.0177921808853925
Alternative,Rural,2018-19,2018-19,7,0.41551724137931034,0.017241379310344827,0.39827586206896554,24.1,0.35345450547839796,0.025358090185676398,0.32809641529272154,1.0614320762594431
Alternative,Rural,2019-20,2019-20,8,0.42003853564547206,0,0.42003853564547206,NA,0.27216251826029575,0,0.27216251826029575,1.4500946649722226
Alternative,Rural,2021-22,2021-22,8,0.08678500986193294,0,0.08678500986193294,NA,0.07851075048333235,0,0.07851075048333235,0.9573527644119274
Alternative,Rural,2022-23,2022-23,8,0.1712962962962963,0,0.1712962962962963,NA,0.1393041055924637,0,0.1393041055924637,1.0918195220628837
Alternative,Rural,2023-24,2023-24,7,0.13544018058690746,0,0.13544018058690746,NA,0.10840644940091998,0.011764705882352943,0.09664174351856704,0.7421637843847493
Alternative,Suburban,2017-18,2017-18,8,0.20869455961804248,0,0.20869455961804248,NA,0.12935091645865643,0.009971509971509975,0.11937940648714646,0.9747214444727181
Alternative,Suburban,2018-19,2018-19,8,0.3404255319148936,0,0.3404255319148936,NA,0.2757910259111017,0.02114093959731544,0.2546500863137863,1.0497787427897176
Alternative,Suburban,2019-20,2019-20,8,0.2284021721244035,0,0.2284021721244035,NA,0.1305861730116718,0,0.1305861730116718,1.217293356698365
Alternative,Suburban,2021-22,2021-22,8,0.05042016806722689,0,0.05042016806722689,NA,0.03681039011998871,0,0.03681039011998871,1.0652738742043775
Alternative,Suburban,2022-23,2022-23,8,0.11293366236028451,0,0.11293366236028451,NA,0.07229553539136072,0,0.07229553539136072,1.1797227852424848
Alternative,Suburban,2023-24,2023-24,8,0.18063342930747084,0,0.18063342930747084,NA,0.10018033367179044,0.007743362831858409,0.09243697083993203,1.1239172276976852
Alternative,Town,2017-18,2017-18,5,0.3780487804878049,0.14912280701754385,0.22892597347026103,2.5351506456241033,0.3657181571815718,0.14993079898074013,0.21578735820083167,0.40956970280400884
Alternative,Town,2018-19,2018-19,5,0.3916083916083916,0.0392156862745098,0.3523927053338818,9.986013986013987,0.36979649563919226,0.07289366008183377,0.29690283555735847,0.6460347378100795
Alternative,Town,2019-20,2019-20,5,0.35294117647058826,0.1038961038961039,0.24904507257448436,3.3970588235294117,0.29358288770053476,0.10897675230663856,0.1846061353938962,0.5634743725275809
Alternative,Town,2021-22,2021-22,7,0.09649122807017543,0,0.09649122807017543,NA,0.0938162714478504,0,0.0938162714478504,0.8425299547870366
Alternative,Town,2022-23,2022-23,6,0.14728682170542637,0.02702702702702703,0.12025979467839934,5.449612403100775,0.14684160905091137,0.0630304217260739,0.08381118732483747,0.41838519365089605
Alternative,Town,2023-24,2023-24,6,0.23125,0,0.23125,NA,0.1845703125,0.043478260869565216,0.14109205163043478,0.7027821370463455
Alternative,Unknown,2017-18,2017-18,7,0.58679706601467,0,0.58679706601467,NA,0.38650119038335407,0.018181818181818184,0.3683193722015359,1.3907967321349195
Alternative,Unknown,2018-19,2018-19,7,0.6456599286563615,0,0.6456599286563615,NA,0.4356757361684271,0,0.4356757361684271,1.4124786776330773
Alternative,Unknown,2019-20,2019-20,6,0.40350877192982454,0,0.40350877192982454,NA,0.3321891685736079,0.07732696897374702,0.2548621995998609,0.6845269562572245
Alternative,Unknown,2021-22,2021-22,8,0.07735583684950774,0,0.07735583684950774,NA,0.05377443664437197,0,0.05377443664437197,1.255529076377288
Alternative,Unknown,2022-23,2022-23,6,0.5454545454545454,0,0.5454545454545454,NA,0.4813692480359147,0.08152909336941813,0.3998401546664966,0.7092020345797
Alternative,Unknown,2023-24,2023-24,2,0.02702702702702703,0.010869565217391304,0.016157461809635724,2.486486486486487,0.025411280846063453,0.01248531139835488,0.012925969447708574,0.6029592707792266
Elementary,City,2017-18,2017-18,8,0.2916666666666667,0.0033394556687259976,0.2883272109979407,87.33958333333334,0.11748842990712652,0.0033922288291086114,0.1140962010780179,1.9587557767074568
Elementary,City,2018-19,2018-19,8,0.033736120182887,0,0.033736120182887,NA,0.021809147743177784,0.001980362789149609,0.019828784954028175,0.9958430286435563
Elementary,City,2019-20,2019-20,8,0.024517401719036214,0,0.024517401719036214,NA,0.01486959131701289,8.419243986254298e-4,0.01402766691838746,1.2046804426048177
Elementary,City,2021-22,2021-22,8,0.03157280906364545,0,0.03157280906364545,NA,0.018129882327301255,0.0017710309930423786,0.016358851334258878,1.0689475382951152
Elementary,City,2022-23,2022-23,8,0.07540983606557378,0,0.07540983606557378,NA,0.0455019694670191,7.636919048658086e-4,0.04473827756215329,1.4491662059809984
Elementary,City,2023-24,2023-24,8,0.030735362601075313,0,0.030735362601075313,NA,0.020281556861586697,0.0015576323987538945,0.018723924462832803,0.9402255644634017
Elementary,Rural,2017-18,2017-18,8,0.09551656920077972,0,0.09551656920077972,NA,0.0792722547108512,0,0.0792722547108512,1.0880619111857148
Elementary,Rural,2018-19,2018-19,8,0.3655913978494624,0,0.3655913978494624,NA,0.168010752688172,7.734806629834256e-4,0.16723727202518857,1.6240316046861227
Elementary,Rural,2019-20,2019-20,8,0.13725490196078433,0.003028773346794548,0.13422612861398978,45.316993464052295,0.08784313725490195,0.00734245553345013,0.08050068172145182,1.2038192289515715
Elementary,Rural,2021-22,2021-22,8,0.044642857142857144,0,0.044642857142857144,NA,0.04139285714285714,0.0010000000000000002,0.04039285714285714,0.9164879285609353
Elementary,Rural,2022-23,2022-23,8,0.13898305084745763,0,0.13898305084745763,NA,0.0704015398599155,0.0015987818804720218,0.06880275797944348,1.3293028484360407
Elementary,Rural,2023-24,2023-24,8,0.08445945945945946,0,0.08445945945945946,NA,0.059022048364153624,7.327285415212843e-4,0.05828931982263234,1.03928014543511
Elementary,Suburban,2017-18,2017-18,8,0.08276625399688448,0.0037895007279266936,0.07897675326895778,21.84093893608181,0.07205209842128757,0.0038856441149336014,0.06816645430635397,1.0426110743461303
Elementary,Suburban,2018-19,2018-19,8,0.08103007171916286,0.003854767852528211,0.07717530386663465,21.020739722631546,0.07815517536190271,0.004699274046907239,0.07345590131499546,1.0641142873956568
Elementary,Suburban,2019-20,2019-20,8,0.05702692089532702,0.0021101992966002345,0.054916721598726785,27.024424179841084,0.05356640960193144,0.0032730126469647496,0.050293396954966686,1.1170797243444968
Elementary,Suburban,2021-22,2021-22,8,0.059639116967402525,0.0022759968221931163,0.05736312014520941,26.20351504266828,0.03362207216887243,0.0023117583226760345,0.0313103138461964,1.0648914509102125
Elementary,Suburban,2022-23,2022-23,8,0.0636319612590799,0,0.0636319612590799,NA,0.03151562388068254,0.002234600964113552,0.029281022916568988,1.1908727835186255
Elementary,Suburban,2023-24,2023-24,8,0.06446425961116796,0.0036900369003690036,0.06077422271079896,17.469814354626518,0.03242464432154239,0.004419978973045044,0.028004665348497347,1.1086295116857687
Elementary,Town,2017-18,2017-18,8,0.16595744680851063,0,0.16595744680851063,NA,0.14806537973791745,0,0.14806537973791745,1.0155421621829603
Elementary,Town,2018-19,2018-19,8,0.13333333333333333,0,0.13333333333333333,NA,0.13302013422818793,0.003357314148681056,0.12966282007950686,0.8806823448940192
Elementary,Town,2019-20,2019-20,8,0.07692307692307693,0,0.07692307692307693,NA,0.0642951971885982,0,0.0642951971885982,0.949076954473955
Elementary,Town,2021-22,2021-22,8,0.09921875,0,0.09921875,NA,0.08223938811844078,0,0.08223938811844078,1.0364658172487735
Elementary,Town,2022-23,2022-23,8,0.1910931174089069,0,0.1910931174089069,NA,0.1488110482916882,0.009589041095890413,0.1392220071957978,1.016858549860319
Elementary,Town,2023-24,2023-24,8,0.17244367417677642,0,0.17244367417677642,NA,0.16117935632469416,0,0.16117935632469416,1.0569541308161086
Elementary,Unknown,2017-18,2017-18,7,0.13176895306859207,0,0.13176895306859207,NA,0.10413615265600829,0.006779661016949153,0.09735649163905913,0.9037299865845918
Elementary,Unknown,2018-19,2018-19,7,0.10894495412844037,0,0.10894495412844037,NA,0.06298974635725853,0.009526228883525976,0.053463517473732555,1.0454476564701818
Elementary,Unknown,2019-20,2019-20,6,0.0608,0,0.0608,NA,0.04260865704772475,0,0.04260865704772475,1.295126902115821
Elementary,Unknown,2021-22,2021-22,6,0.021148036253776436,0,0.021148036253776436,NA,0.014740684793554885,0,0.014740684793554885,1.091480666746269
Elementary,Unknown,2022-23,2022-23,4,0.07017543859649122,0,0.07017543859649122,NA,0.051596305250759415,0,0.051596305250759415,1.7310212187426914
High,City,2017-18,2017-18,8,0.13530095407984,0.011286874732791791,0.12401407934704821,11.987459530028248,0.10093511381015889,0.014534797853386497,0.08640031595677239,0.6888222314905154
High,City,2018-19,2018-19,8,0.1269919771403451,0.01246904846126636,0.11452292867907875,10.184576436191648,0.09091880320328638,0.014566719343717099,0.07635208385956928,0.6946810155194952
High,City,2019-20,2019-20,8,0.09162273989684294,0.006309716964124752,0.0853130229327182,14.520895377365365,0.06984793308016399,0.009004455726612497,0.06084347735355149,0.712680511330738
High,City,2021-22,2021-22,8,0.1184973677166057,0.008626605234780904,0.1098707624818248,13.736268728148804,0.09447176923754064,0.01101888931173638,0.08345287992580426,0.7106591989202605
High,City,2022-23,2022-23,8,0.11698445470002429,0.014338766247163194,0.1026456884528611,8.158613696849176,0.10501403559699915,0.014423203861631873,0.09059083173536728,0.6608468082348867
High,City,2023-24,2023-24,8,0.12277378952191843,0.013082155939298797,0.10969163358261963,9.384828471055444,0.09245075206656417,0.01489617305883255,0.07755457900773162,0.7404941179352439
High,Rural,2017-18,2017-18,8,0.1879021879021879,0.013500931098696461,0.17440125680349144,13.917720676341366,0.17523360817788527,0.014195206865840823,0.16103840131204444,0.9009796927930174
High,Rural,2018-19,2018-19,8,0.30484988452655887,0.015479876160990712,0.28937000836556814,19.693302540415704,0.19299666122341963,0.01601103233470205,0.17698562888871758,1.0472337172648818
High,Rural,2019-20,2019-20,8,0.12439613526570048,0.008398320335932814,0.11599781492976767,14.812025534851621,0.11378942881500426,0.010318938997715778,0.10347048981728849,0.7281669748646142
High,Rural,2021-22,2021-22,8,0.20092915214866433,0.012596401028277636,0.1883327511203867,15.951314323638861,0.16048158540119156,0.014109709112554537,0.14637187628863702,0.7966000529424532
High,Rural,2022-23,2022-23,8,0.17962466487935658,0.014594989053758209,0.16502967582559835,12.307283288650583,0.17677628835269585,0.017685150042790795,0.15909113830990507,0.7576611259927428
High,Rural,2023-24,2023-24,8,0.17896174863387979,0.010091302258529554,0.16887044637535023,17.734257090814467,0.14886991478678535,0.011963560890324824,0.13690635389646053,0.8593141805846782
High,Suburban,2017-18,2017-18,8,0.15161947586594535,0.015546711713001402,0.13607276415294395,9.752510927384666,0.09851614579008662,0.0177449730341403,0.08077117275594632,0.7329347469579359
High,Suburban,2018-19,2018-19,8,0.1564820102798401,0.01718644116671713,0.13929556911312296,9.104968781022542,0.10694460308395201,0.018144099674052692,0.08880050340989931,0.7224587979275305
High,Suburban,2019-20,2019-20,8,0.11029626032054396,0.011101003496602894,0.09919525682394106,9.93570179077023,0.08831570255375687,0.012420707768697935,0.07589499478505893,0.7365823405476508
High,Suburban,2021-22,2021-22,8,0.1402200120554551,0.012397887019022603,0.12782212503643248,11.30999273023779,0.12155318310381602,0.013982806325041624,0.1075703767787744,0.7565718345251712
High,Suburban,2022-23,2022-23,8,0.15880029109054997,0.014201355981628637,0.14459893510892133,11.18205129819853,0.13952552885461128,0.01548616512367805,0.12403936373093323,0.777419745222264
High,Suburban,2023-24,2023-24,8,0.14891800304186567,0.014028230184581976,0.1348897728572837,10.615594489284698,0.1155717920650626,0.014700780723548777,0.10087101134151383,0.7544919060729017
High,Town,2017-18,2017-18,8,0.2011704462326262,0.028233749179251477,0.17293669705337472,7.125176502611389,0.16035113386978783,0.04347012475377545,0.11688100911601237,0.4972893935978682
High,Town,2018-19,2018-19,8,0.27149964463397297,0.032467532467532464,0.2390321121664405,8.362189054726368,0.2030579335911969,0.07821999339362198,0.12483794019757491,0.5335334752171054
High,Town,2019-20,2019-20,8,0.1824127906976744,0.01762402088772846,0.16478876980994595,10.350236864771746,0.14431520189704325,0.020842761821874094,0.12347244007516915,0.6095807178546812
High,Town,2021-22,2021-22,8,0.24193548387096775,0.02081977878985036,0.2211157050811174,11.620463709677418,0.2157624633431085,0.03337771658269154,0.18238474676041697,0.6262353806349434
High,Town,2022-23,2022-23,8,0.33879781420765026,0.03162650602409638,0.30717130818355387,10.712464220660943,0.26041329062244833,0.04660916392844104,0.21380412669400728,0.6723985144378951
High,Town,2023-24,2023-24,8,0.255653883972468,0.022510822510822513,0.2331430614616455,11.356932153392329,0.23597408290794528,0.05839259101554184,0.17758149189240344,0.6262479346546325
High,Unknown,2017-18,2017-18,8,0.05178319564779367,0,0.05178319564779367,NA,0.04683137498302872,0.001994301994301995,0.04483707298872673,1.1712244771729554
High,Unknown,2018-19,2018-19,8,0.06084533209475151,0,0.06084533209475151,NA,0.04443718206836597,0,0.04443718206836597,1.5013286170011142
High,Unknown,2019-20,2019-20,6,0.04714640198511166,0,0.04714640198511166,NA,0.04183775653425886,0,0.04183775653425886,1.0593407147065523
High,Unknown,2021-22,2021-22,4,0.038266741699493526,0,0.038266741699493526,NA,0.028215290618216902,0,0.028215290618216902,1.7176083090456369
High,Unknown,2022-23,2022-23,3,0.06951658010387535,0,0.06951658010387535,NA,0.059003094591574844,0.0033898305084745753,0.055613264083100265,1.257627022512651
Middle,City,2017-18,2017-18,8,0.16720368239355582,0.013226909920182441,0.15397677247337338,12.641174953374867,0.12462918982444972,0.014723302854319713,0.10990588697013001,0.7441346752240173
Middle,City,2018-19,2018-19,8,0.15310280591454187,0.012458073790129372,0.1406447321244125,12.289444459371111,0.10653690238042315,0.013487354276018182,0.09304954810440497,0.7465298189215288
Middle,City,2019-20,2019-20,8,0.11278195488721804,0.0037355248412401943,0.10904643004597785,30.19172932330827,0.11180622522330413,0.007453552660879647,0.10435267256242449,0.8680010765809466
Middle,City,2021-22,2021-22,8,0.18421052631578946,0.01362343520715955,0.1705870911086299,13.521591545352743,0.14519390840942897,0.014031320255741178,0.1311625881536878,0.8729648278917173
Middle,City,2022-23,2022-23,8,0.1836734693877551,0.015098066883025257,0.16857540250472985,12.165363341598322,0.16018989743863754,0.01726708627591789,0.14292281116271965,0.8120306859783126
Middle,City,2023-24,2023-24,8,0.13993192797540624,0.013238289205702648,0.1266936387697036,10.570242559372995,0.1189026553156988,0.01548599881761421,0.10341665649808458,0.7144509122996006
Middle,Rural,2017-18,2017-18,8,0.17988826815642459,0,0.17988826815642459,NA,0.17491043324928726,0.005475880052151241,0.16943455319713602,1.0415819700467883
Middle,Rural,2018-19,2018-19,8,0.22067363530778164,0.012796649604467194,0.20787698570331445,17.244641537324465,0.21528409793627573,0.014408100572397069,0.20087599736387865,0.8287859070909799
Middle,Rural,2019-20,2019-20,8,0.12705464238116393,0,0.12705464238116393,NA,0.1192164512280999,0.005152471083070454,0.11406398014502944,1.0457133556405391
Middle,Rural,2021-22,2021-22,8,0.1538116591928251,0,0.1538116591928251,NA,0.12547382615449917,0.008863529779584182,0.11661029637491499,0.9212315312782671
Middle,Rural,2022-23,2022-23,8,0.19410004275331338,0,0.19410004275331338,NA,0.17105580157770867,0.00780702891972507,0.1632487726579836,0.9812778434024788
Middle,Rural,2023-24,2023-24,8,0.1931489888567891,0,0.1931489888567891,NA,0.17028454830909337,0.008436724565756826,0.16184782374333653,1.0176694147264829
Middle,Suburban,2017-18,2017-18,8,0.18253013319823527,0.012970198598941114,0.16955993459929417,14.073040733018306,0.11923272416999686,0.0162690853492656,0.10296363882073126,0.8136922982681829
Middle,Suburban,2018-19,2018-19,8,0.2153846153846154,0.012528975428836346,0.20285563995577904,17.190920088237387,0.1996260566288378,0.018151951055617198,0.1814741055732206,0.914691682817655
Middle,Suburban,2019-20,2019-20,8,0.13219086169346855,0.007847068584070796,0.12434379310939776,16.845890956249598,0.09203821088899294,0.010137605363842339,0.0819006055251506,0.8662512160926742
Middle,Suburban,2021-22,2021-22,8,0.18461538461538463,0.013078684577067448,0.17153670003831717,14.11574562621494,0.16284615575174693,0.015141829614800206,0.14770432613694673,0.9261862892382013
Middle,Suburban,2022-23,2022-23,8,0.2261904761904762,0.016702918358089167,0.20948755783238704,13.54197340496087,0.2026661316211878,0.020777641575569637,0.18188849004561816,0.9244987431774027
Middle,Suburban,2023-24,2023-24,8,0.17739664661461665,0.01564249563308998,0.16175415098152668,11.340686983434635,0.12242051489693251,0.01739813653860869,0.10502237835832381,0.8053283046624014
Middle,Town,2017-18,2017-18,8,0.4014900662251656,0.02664796633941094,0.3748420998857547,15.066443011502267,0.3210655765685806,0.04324618846297436,0.27781938810560625,0.8251876464677355
Middle,Town,2018-19,2018-19,8,0.33787234042553194,0.022145328719723183,0.31572701170580875,15.257047872340427,0.2705224705806424,0.0355692184506277,0.23495325213001467,0.7443645858071983
Middle,Town,2019-20,2019-20,8,0.2201154163231657,0,0.2201154163231657,NA,0.19015356762822722,0.009561466570812367,0.18059210105741486,0.9028786256739856
Middle,Town,2021-22,2021-22,8,0.37037037037037035,0.026033690658499236,0.3443366797118711,14.226579520697166,0.34444444444444444,0.04585358545841934,0.2985908589860251,0.7935508483465381
Middle,Town,2022-23,2022-23,8,0.4666064981949459,0.02857142857142857,0.4380350696235173,16.331227436823106,0.37193461218037727,0.03357142857142857,0.3383631836089487,1.0051826334940577
Middle,Town,2023-24,2023-24,8,0.5433962264150943,0.03508771929824561,0.5083085071168487,15.486792452830189,0.39497763081112625,0.07624997785611792,0.3187276529550083,0.8039179628699747
Middle,Unknown,2017-18,2017-18,8,0.15264232252211385,0,0.15264232252211385,NA,0.09290543220785707,0.004294478527607363,0.08861095368024971,1.1052580700297876
Middle,Unknown,2018-19,2018-19,8,0.15418060200668895,0,0.15418060200668895,NA,0.09394068401886316,0,0.09394068401886316,1.2545010192291157
Middle,Unknown,2019-20,2019-20,8,0.06407097092163627,0,0.06407097092163627,NA,0.060397761864726174,0.003910614525139666,0.056487147339586506,0.7142452410982486
Middle,Unknown,2021-22,2021-22,7,0.07681159420289856,0,0.07681159420289856,NA,0.05534469847143299,0,0.05534469847143299,1.0870770881844318
Middle,Unknown,2022-23,2022-23,5,0.0379746835443038,0,0.0379746835443038,NA,0.03373008375842307,0,0.03373008375842307,1.0560106253269441
Other/Unknown,City,2017-18,2017-18,8,0.1770894666707986,0.01370803225867953,0.16338143441211908,12.918664278650985,0.12922940410380368,0.01730953833580375,0.11191986576799993,0.7549978903534096
Other/Unknown,City,2018-19,2018-19,8,0.16111181783488107,0.012435791743293805,0.14867602609158725,12.95549339846119,0.1127875068065671,0.017992165554722182,0.09479534125184491,0.7311766241904362
Other/Unknown,City,2019-20,2019-20,8,0.11217574199579342,0.008728932628915463,0.10344680936687795,12.85102620957344,0.0942296456756611,0.01139174096738826,0.08283790470827283,0.7574430405916177
Other/Unknown,City,2021-22,2021-22,8,0.13488632869725634,0.010985534943490725,0.12390079375376561,12.278539860926912,0.10282301331158131,0.0152588697304526,0.08756414358112871,0.7166347292766319
Other/Unknown,City,2022-23,2022-23,8,0.15613099771515612,0.012916722008234825,0.1432142757069213,12.087509324394967,0.12700527441828124,0.017203097490133767,0.10980217692814748,0.734176465000457
Other/Unknown,City,2023-24,2023-24,8,0.14039836472586759,0.01208279751685782,0.12831556720900977,11.619690268746533,0.10297591080184332,0.015000812821259847,0.08797509798058348,0.7383820098326213
Other/Unknown,Rural,2017-18,2017-18,8,0.20164249519482788,0.020589166930630346,0.18105332826419754,9.793620882001102,0.15430718154813908,0.029405327084849855,0.12490185446328922,0.711070242921291
Other/Unknown,Rural,2018-19,2018-19,8,0.16530394596516174,0.017364341085271316,0.1479396048798904,9.519736173886548,0.13254118378954852,0.019482879215980714,0.1130583045735678,0.6639100705667184
Other/Unknown,Rural,2019-20,2019-20,8,0.12191804114946438,0.013165593914569925,0.10875244723489445,9.26035254775265,0.08526165654885784,0.015168664150638507,0.07009299239821934,0.7495512646309584
Other/Unknown,Rural,2021-22,2021-22,8,0.15370212765957447,0.012591815320041973,0.1411103123395325,12.206510638297873,0.12951312792442835,0.013762468636369776,0.11575065928805857,0.7343984721714629
Other/Unknown,Rural,2022-23,2022-23,8,0.1605999325918436,0.01680672268907563,0.14379320990276798,9.555695989214694,0.12686215032018874,0.017992988129571903,0.10886916219061685,0.6612285677424634
Other/Unknown,Rural,2023-24,2023-24,8,0.1542056074766355,0.01509813789632612,0.1391074695803094,10.213551401869157,0.11197942906309967,0.019360216124261875,0.09261921293883779,0.6582996450797587
Other/Unknown,Suburban,2017-18,2017-18,8,0.16372621865874099,0.01496172052175766,0.14876449813698334,10.943007418207468,0.11963565355112704,0.018640877160124584,0.10099477639100246,0.6995337322151024
Other/Unknown,Suburban,2018-19,2018-19,8,0.1554039650394372,0.015544964589550576,0.13985900044988664,9.99706137278053,0.10489090961361232,0.018826760418034206,0.08606414919557812,0.6838975774365296
Other/Unknown,Suburban,2019-20,2019-20,8,0.10920382515663357,0.010228204757080138,0.09897562039955343,10.676734358592189,0.07999860009865603,0.01083108539618488,0.06916751470247115,0.7220620798132631
Other/Unknown,Suburban,2021-22,2021-22,8,0.14317354544228955,0.01583393946175796,0.1273396059805316,9.042193560742195,0.10738951445880801,0.017067102608334935,0.09032241185047307,0.6825002436987511
Other/Unknown,Suburban,2022-23,2022-23,8,0.16745764041418262,0.018397770623089203,0.14905986979109342,9.102061540218536,0.1218053564550991,0.01891786933700301,0.10288748711809609,0.6979495426290097
Other/Unknown,Suburban,2023-24,2023-24,8,0.15055174470623323,0.0162444193426927,0.13430732536354054,9.267905582230403,0.10256552341186995,0.01809392934078908,0.08447159407108087,0.6890711630084738
Other/Unknown,Town,2017-18,2017-18,8,0.29296424452133796,0.024661893396976928,0.268302351124361,11.87922759236522,0.18264909868391227,0.03202966904065948,0.15061942964325278,0.8180627856271189
Other/Unknown,Town,2018-19,2018-19,8,0.3606276747503566,0.03525264394829612,0.3253750308020605,10.22980504041845,0.1757177141898128,0.03848492623965805,0.13723278795015476,0.9656259188923628
Other/Unknown,Town,2019-20,2019-20,8,0.18726911054276782,0.019990913221263062,0.16727819732150476,9.36771164328709,0.11885290947137028,0.02142650830512602,0.09742640116624426,0.8314800600368358
Other/Unknown,Town,2021-22,2021-22,8,0.21663213968629771,0.024487978628673197,0.19214416105762452,8.846468831553176,0.15733792686631148,0.03201599711283104,0.12532192975348044,0.700602873969377
Other/Unknown,Town,2022-23,2022-23,8,0.17954264524103833,0.015879478827361564,0.16366316641367676,11.306582992615132,0.15330569050824464,0.028359349266186,0.12494634124205864,0.6162892025263342
Other/Unknown,Town,2023-24,2023-24,8,0.2493622448979592,0.013953488372093023,0.23540875652586618,17.870960884353742,0.2045594522855871,0.015631031045432592,0.18892842124015452,0.7987280554514067
Other/Unknown,Unknown,2017-18,2017-18,8,0.12652035959809624,0.0038461538461538464,0.12267420575194239,32.89529349550502,0.08127354638800938,0.010987561750176431,0.07028598463783295,0.8914599302693336
Other/Unknown,Unknown,2018-19,2018-19,8,0.25024154589371983,0.014523707817172148,0.23571783807654767,17.229866439329356,0.14666337285902503,0.023535194536932466,0.12312817832209257,0.9995714699555681
Other/Unknown,Unknown,2019-20,2019-20,8,0.160479391990646,0.007073386383731211,0.1534060056069148,22.68777404267758,0.08911798421983629,0.013597425751184939,0.07552055846865134,1.0238779980420551
Other/Unknown,Unknown,2021-22,2021-22,7,0.058798999165971644,0,0.058798999165971644,NA,0.03777811735824188,0.001183898973954223,0.036594218384287655,1.1596294533009481
Other/Unknown,Unknown,2022-23,2022-23,8,0.07215332581736189,0,0.07215332581736189,NA,0.04134441550033227,0,0.04134441550033227,1.209427668252314
Other/Unknown,Unknown,2023-24,2023-24,7,0.05385097056981841,0,0.05385097056981841,NA,0.04425499952192585,0,0.04425499952192585,0.9399715007904237
